row_index,decision_id,sentence_length_days,crime_type
0,D000001,645.0,simple_theft
1,D000002,245.0,simple_theft
2,D000003,495.0,simple_theft
3,D000004,495.0,simple_theft
4,D000005,240.0,simple_theft
5,D000006,509.0,simple_theft
6,D000007,437.0,simple_theft
7,D000008,365.0,simple_theft
8,D000009,240.0,simple_theft
9,D000010,658.0,simple_theft
10,D000011,240.0,simple_theft
11,D000012,425.0,simple_theft
12,D000013,495.0,simple_theft
13,D000014,425.0,simple_theft
14,D000015,350.0,simple_theft
15,D000016,431.0,simple_theft
16,D000017,280.0,simple_theft
17,D000018,365.0,simple_theft
18,D000019,874.0,simple_theft
19,D000020,500.0,simple_theft
20,D000021,172.0,simple_theft
21,D000022,365.0,simple_theft
22,D000023,320.0,simple_theft
23,D000024,365.0,simple_theft
24,D000025,320.0,simple_theft
25,D000026,180.0,simple_theft
26,D000027,565.0,simple_theft
27,D000028,425.0,simple_theft
28,D000029,649.0,simple_theft
29,D000030,180.0,simple_theft
30,D000031,545.0,simple_theft
31,D000032,365.0,simple_theft
32,D000033,425.0,simple_theft
33,D000034,365.0,simple_theft
34,D000035,365.0,simple_theft
35,D000036,425.0,simple_theft
36,D000037,495.0,simple_theft
37,D000038,565.0,simple_theft
38,D000039,365.0,simple_theft
39,D000040,495.0,simple_theft
40,D000041,140.0,simple_theft
41,D000042,565.0,simple_theft
42,D000043,365.0,simple_theft
43,D000044,378.0,simple_theft
44,D000045,477.0,simple_theft
45,D000046,545.0,simple_theft
46,D000047,495.0,simple_theft
47,D000048,425.0,simple_theft
48,D000049,280.0,simple_theft
49,D000050,378.0,simple_theft
50,D000051,955.0,simple_theft
51,D000052,425.0,simple_theft
52,D000053,425.0,simple_theft
53,D000054,365.0,simple_theft
54,D000055,365.0,simple_theft
55,D000056,485.0,simple_theft
56,D000057,365.0,simple_theft
57,D000058,425.0,simple_theft
58,D000059,120.0,simple_theft
59,D000060,425.0,simple_theft
60,D000061,576.0,simple_theft
61,D000062,365.0,simple_theft
62,D000063,425.0,simple_theft
63,D000064,261.0,simple_theft
64,D000065,140.0,simple_theft
65,D000066,425.0,simple_theft
66,D000067,425.0,simple_theft
67,D000068,495.0,simple_theft
68,D000069,495.0,simple_theft
69,D000070,163.0,simple_theft
70,D000071,425.0,simple_theft
71,D000072,365.0,simple_theft
72,D000073,567.0,simple_theft
73,D000074,485.0,simple_theft
74,D000075,180.0,simple_theft
75,D000076,495.0,simple_theft
76,D000077,425.0,simple_theft
77,D000078,545.0,simple_theft
78,D000079,410.0,simple_theft
79,D000080,365.0,simple_theft
80,D000081,523.0,simple_theft
81,D000082,365.0,simple_theft
82,D000083,425.0,simple_theft
83,D000084,425.0,simple_theft
84,D000085,477.0,simple_theft
85,D000086,425.0,simple_theft
86,D000087,425.0,simple_theft
87,D000088,485.0,simple_theft
88,D000089,365.0,simple_theft
89,D000090,425.0,simple_theft
90,D000091,477.0,simple_theft
91,D000092,455.0,simple_theft
92,D000093,365.0,simple_theft
93,D000094,180.0,simple_theft
94,D000095,582.0,simple_theft
95,D000096,163.0,simple_theft
96,D000097,425.0,simple_theft
97,D000098,658.0,simple_theft
98,D000099,495.0,simple_theft
99,D000100,779.0,simple_theft
100,D000101,120.0,simple_theft
101,D000102,565.0,simple_theft
102,D000103,425.0,simple_theft
103,D000104,425.0,simple_theft
104,D000105,270.0,simple_theft
105,D000106,210.0,simple_theft
106,D000107,300.0,simple_theft
107,D000108,565.0,simple_theft
108,D000109,180.0,simple_theft
109,D000110,432.0,simple_theft
110,D000111,425.0,simple_theft
111,D000112,756.0,simple_theft
112,D000113,485.0,simple_theft
113,D000114,175.0,simple_theft
114,D000115,485.0,simple_theft
115,D000116,495.0,simple_theft
116,D000117,240.0,simple_theft
117,D000118,266.0,simple_theft
118,D000119,495.0,simple_theft
119,D000120,365.0,simple_theft
120,D000121,425.0,simple_theft
121,D000122,509.0,simple_theft
122,D000123,180.0,simple_theft
123,D000124,365.0,simple_theft
124,D000125,495.0,simple_theft
125,D000126,425.0,simple_theft
126,D000127,365.0,simple_theft
127,D000128,874.0,simple_theft
128,D000129,538.0,simple_theft
129,D000130,326.0,simple_theft
130,D000131,437.0,simple_theft
131,D000132,495.0,simple_theft
132,D000133,160.0,simple_theft
133,D000134,658.0,simple_theft
134,D000135,485.0,simple_theft
135,D000136,565.0,simple_theft
136,D000137,365.0,simple_theft
137,D000138,425.0,simple_theft
138,D000139,365.0,simple_theft
139,D000140,425.0,simple_theft
140,D000141,365.0,simple_theft
141,D000142,485.0,simple_theft
142,D000143,425.0,simple_theft
143,D000144,485.0,simple_theft
144,D000145,210.0,simple_theft
145,D000146,125.0,simple_theft
146,D000147,365.0,simple_theft
147,D000148,605.0,simple_theft
148,D000149,425.0,simple_theft
149,D000150,320.0,simple_theft
150,D000151,210.0,simple_theft
151,D000152,730.0,simple_theft
152,D000153,389.0,simple_theft
153,D000154,365.0,simple_theft
154,D000155,645.0,simple_theft
155,D000156,240.0,simple_theft
156,D000157,565.0,simple_theft
157,D000158,240.0,simple_theft
158,D000159,425.0,simple_theft
159,D000160,425.0,simple_theft
160,D000161,485.0,simple_theft
161,D000162,425.0,simple_theft
162,D000163,646.0,simple_theft
163,D000164,485.0,simple_theft
164,D000165,365.0,simple_theft
165,D000166,680.0,simple_theft
166,D000167,365.0,simple_theft
167,D000168,730.0,simple_theft
168,D000169,140.0,simple_theft
169,D000170,365.0,simple_theft
170,D000171,495.0,simple_theft
171,D000172,582.0,simple_theft
172,D000173,635.0,simple_theft
173,D000174,545.0,simple_theft
174,D000175,365.0,simple_theft
175,D000176,485.0,simple_theft
176,D000177,425.0,simple_theft
177,D000178,365.0,simple_theft
178,D000179,365.0,simple_theft
179,D000180,565.0,simple_theft
180,D000181,425.0,simple_theft
181,D000182,495.0,simple_theft
182,D000183,485.0,simple_theft
183,D000184,180.0,simple_theft
184,D000185,120.0,simple_theft
185,D000186,425.0,simple_theft
186,D000187,425.0,simple_theft
187,D000188,365.0,simple_theft
188,D000189,365.0,simple_theft
189,D000190,365.0,simple_theft
190,D000191,677.0,simple_theft
191,D000192,240.0,simple_theft
192,D000193,425.0,simple_theft
193,D000194,365.0,simple_theft
194,D000195,365.0,simple_theft
195,D000196,485.0,simple_theft
196,D000197,485.0,simple_theft
197,D000198,280.0,simple_theft
198,D000199,240.0,simple_theft
199,D000200,345.0,simple_theft
200,D000201,519.0,simple_theft
201,D000202,365.0,simple_theft
202,D000203,365.0,simple_theft
203,D000204,120.0,simple_theft
204,D000205,365.0,simple_theft
205,D000206,365.0,simple_theft
206,D000207,365.0,simple_theft
207,D000208,495.0,simple_theft
208,D000209,545.0,simple_theft
209,D000210,425.0,simple_theft
210,D000211,365.0,simple_theft
211,D000212,180.0,simple_theft
212,D000213,120.0,simple_theft
213,D000214,320.0,simple_theft
214,D000215,425.0,simple_theft
215,D000216,425.0,simple_theft
216,D000217,365.0,simple_theft
217,D000218,365.0,simple_theft
218,D000219,175.0,simple_theft
219,D000220,365.0,simple_theft
220,D000221,565.0,simple_theft
221,D000222,180.0,simple_theft
222,D000223,455.0,simple_theft
223,D000224,495.0,simple_theft
224,D000225,365.0,simple_theft
225,D000226,365.0,simple_theft
226,D000227,495.0,simple_theft
227,D000228,365.0,simple_theft
228,D000229,425.0,simple_theft
229,D000230,365.0,simple_theft
230,D000231,120.0,simple_theft
231,D000232,180.0,simple_theft
232,D000233,565.0,simple_theft
233,D000234,365.0,simple_theft
234,D000235,216.0,simple_theft
235,D000236,495.0,simple_theft
236,D000237,365.0,simple_theft
237,D000238,365.0,simple_theft
238,D000239,365.0,simple_theft
239,D000240,485.0,simple_theft
240,D000241,425.0,simple_theft
241,D000242,565.0,simple_theft
242,D000243,240.0,simple_theft
243,D000244,425.0,simple_theft
244,D000245,180.0,simple_theft
245,D000246,495.0,simple_theft
246,D000247,365.0,simple_theft
247,D000248,216.0,simple_theft
248,D000249,582.0,simple_theft
249,D000250,365.0,simple_theft
250,D000251,320.0,simple_theft
251,D000252,280.0,simple_theft
252,D000253,545.0,simple_theft
253,D000254,495.0,simple_theft
254,D000255,425.0,simple_theft
255,D000256,365.0,simple_theft
256,D000257,365.0,simple_theft
257,D000258,565.0,simple_theft
258,D000259,163.0,simple_theft
259,D000260,416.0,simple_theft
260,D000261,483.0,simple_theft
