row,process_id
0,0000010-05.2022.8.26.0574
1,0000012-21.2021.8.26.0570
2,0000022-04.2017.8.26.0474
3,0000073-66.2018.8.26.0187
4,0000076-72.2018.8.26.0558
5,0000089-81.2016.8.26.0545
6,0000104-16.2016.8.26.0621
7,0000118-34.2016.8.26.0545
8,0000119-19.2018.8.26.0587
9,0000140-78.2017.8.26.0603
10,0000163-33.2017.8.26.0600
11,0000173-80.2018.8.26.0426
12,0000185-29.2017.8.26.0071
13,0000200-44.2018.8.26.0594
14,0000233-48.2018.8.26.0557
15,0000236-21.2018.8.26.0551
16,0000275-37.2016.8.26.0535
17,0000283-18.2015.8.26.0545
18,0000284-32.2018.8.26.0081
19,0000324-47.2018.8.26.0070
20,0000337-93.2018.8.26.0022
21,0000338-32.2018.8.26.0587
22,0000351-45.2022.8.26.0537
23,0000382-22.2018.8.26.0144
24,0000432-34.2014.8.26.0582
25,0000441-06.2018.8.26.0210
26,0000472-29.2016.8.26.0361
27,0000478-32.2017.8.26.0060
28,0000480-67.2017.8.26.0200
29,0000494-40.2018.8.26.0548
30,0000514-21.2022.8.26.0603
31,0000515-07.2017.8.26.0530
32,0000585-13.2016.8.26.0545
33,0000591-13.2018.8.26.0266
34,0000596-24.2009.8.26.0695
35,0000617-20.2018.8.26.0069
36,0000625-82.2017.8.26.0246
37,0000632-42.2014.8.26.0614
38,0000633-72.2017.8.26.0177
39,0000659-06.2016.8.26.0630
40,0000659-08.2018.8.26.0542
41,0000694-66.2014.8.26.0587
42,0000721-69.2018.8.26.0535
43,0000759-49.2021.8.26.0544
44,0000772-26.2018.8.26.0165
45,0000869-28.2018.8.26.0132
46,0000872-52.2018.8.26.0594
47,0000960-42.2018.8.26.0319
48,0000968-54.2017.8.26.0545
49,0001012-96.2017.8.26.0408
50,0001052-25.2016.8.26.0146
51,0001072-69.2015.8.26.0075
52,0001086-45.2018.8.26.0464
53,0001090-57.2018.8.26.0246
54,0001093-09.2016.8.26.0205
55,0001124-31.2016.8.26.0075
56,0001159-86.2018.8.26.0635
57,0001333-79.2017.8.26.0587
58,0001364-27.2016.8.26.0396
59,0001422-23.2015.8.26.0248
60,0001450-57.2016.8.26.0150
61,0001458-14.2015.8.26.0362
62,0001614-56.2018.8.26.0407
63,0001631-75.2012.8.26.0319
64,0001725-59.2017.8.26.0218
65,0001751-36.2017.8.26.0322
66,0001834-96.2016.8.26.0642
67,0002211-72.2017.8.26.0338
68,0002242-20.2016.8.26.0535
69,0002242-69.2014.8.26.0024
70,0002257-69.2014.8.26.0531
71,0002270-92.2017.8.26.0101
72,0002453-51.2017.8.26.0493
73,0002486-78.2017.8.26.0125
74,0002551-07.2017.8.26.0535
75,0002673-49.2017.8.26.0493
76,0002717-39.2016.8.26.0223
77,0002725-31.2017.8.26.0530
78,0002786-43.2017.8.26.0415
79,0002810-41.2014.8.26.0362
80,0002842-34.2014.8.26.0075
81,0002907-33.2022.8.26.0565
82,0002958-46.2016.8.26.0115
83,0003042-70.2015.8.26.0248
84,0003119-81.2017.8.26.0548
85,0003213-96.2017.8.26.0655
86,0003248-76.2018.8.26.0637
87,0003625-33.2016.8.26.0050
88,0003700-34.2014.8.26.0538
89,0003983-48.2015.8.26.0271
90,0004035-42.2014.8.26.0477
91,0004091-47.2018.8.26.0635
92,0004107-98.2018.8.26.0635
93,0004337-42.2018.8.26.0506
94,0004387-02.2017.8.26.0022
95,0004473-84.2018.8.26.0297
96,0004485-80.2014.8.26.0510
97,0004820-06.2017.8.26.0022
98,0004945-07.2017.8.26.0108
99,0005005-24.2018.8.26.0664
100,0005021-38.2017.8.26.0526
101,0005234-61.2018.8.26.0024
102,0005283-49.2017.8.26.0635
103,0005309-97.2012.8.26.0481
104,0005321-46.2015.8.26.0210
105,0005635-92.2014.8.26.0091
106,0005665-74.2018.8.26.0322
107,0005696-62.2012.8.26.0045
108,0005843-40.2017.8.26.0554
109,0005942-78.2018.8.26.0132
110,0006046-50.2017.8.26.0635
111,0006182-31.2022.8.26.0228
112,0006201-23.2016.8.26.0430
113,0006212-82.2017.8.26.0635
114,0006457-39.2016.8.26.0438
115,0006595-26.2018.8.26.0635
116,0006611-67.2018.8.26.0024
117,0006664-40.2017.8.26.0038
118,0006894-40.2016.8.26.0322
119,0007198-36.2017.8.26.0344
120,0007365-27.2017.8.26.0482
121,0008458-34.2014.8.26.0319
122,0008726-93.2014.8.26.0576
123,0008860-35.2017.8.26.0635
124,0009023-17.2017.8.26.0408
125,0009099-73.2016.8.26.0635
126,0009205-75.2017.8.26.0481
127,0009560-93.2012.8.26.0050
128,0009829-69.2017.8.26.0564
129,0010119-65.2017.8.26.0635
130,0011020-42.2018.8.26.0071
131,0011377-17.2021.8.26.0071
132,0012169-66.2017.8.26.0602
133,0013149-78.2017.8.26.0451
134,0013373-55.2018.8.26.0071
135,0013453-19.2017.8.26.0050
136,0014318-76.2016.8.26.0050
137,0014827-54.2016.8.26.0196
138,0016384-15.2018.8.26.0032
139,0018133-71.2022.8.26.0050
140,0018167-46.2022.8.26.0050
141,0018174-38.2022.8.26.0050
142,0018333-20.2018.8.26.0050
143,0018385-06.2018.8.26.0506
144,0019913-85.2018.8.26.0050
145,0019971-30.2014.8.26.0050
146,0021506-14.2016.8.26.0344
147,0022578-26.2010.8.26.0577
148,0022600-93.2022.8.26.0050
149,0023428-31.2018.8.26.0050
150,0023502-82.2017.8.26.0224
151,0025361-15.2014.8.26.0071
152,0025568-38.2018.8.26.0050
153,0026265-30.2016.8.26.0050
154,0027357-67.2021.8.26.0050
155,0028609-47.2017.8.26.0050
156,0030432-92.2016.8.26.0114
157,0031401-08.2016.8.26.0050
158,0032194-78.2016.8.26.0071
159,0032228-82.2018.8.26.0071
160,0032568-94.2016.8.26.0071
161,0035862-86.2017.8.26.0050
162,0036611-71.2014.8.26.0224
163,0037259-93.2012.8.26.0071
164,0038664-86.2019.8.26.0050
165,0042408-31.2015.8.26.0050
166,0045783-69.2017.8.26.0050
167,0047181-17.2018.8.26.0050
168,0048869-82.2016.8.26.0050
169,0052292-16.2017.8.26.0050
170,0053828-96.2016.8.26.0050
171,0054041-10.2013.8.26.0050
172,0055706-56.2016.8.26.0050
173,0056695-62.2016.8.26.0050
174,0057059-63.2018.8.26.0050
175,0058731-14.2015.8.26.0050
176,0060197-38.2018.8.26.0050
177,0060284-62.2016.8.26.0050
178,0065319-03.2016.8.26.0050
179,0069739-80.2018.8.26.0050
180,0070547-22.2017.8.26.0050
181,0071339-73.2017.8.26.0050
182,0074025-72.2016.8.26.0050
183,0078992-29.2017.8.26.0050
184,0080821-11.2018.8.26.0050
185,0084894-60.2017.8.26.0050
186,0085998-87.2017.8.26.0050
187,0091368-57.2011.8.26.0050
188,0095342-92.2017.8.26.0050
189,0096497-96.2018.8.26.0050
190,0105853-52.2017.8.26.0050
191,0106914-45.2017.8.26.0050
192,0110263-56.2017.8.26.0050
193,0112808-02.2017.8.26.0050
194,0943578-08.2012.8.26.0506
195,1500002-43.2021.8.26.0491
196,1500002-83.2021.8.26.0607
197,1500003-68.2021.8.26.0607
198,1500004-18.2020.8.26.0242
199,1500004-89.2022.8.26.0228
200,1500005-76.2020.8.26.0638
201,1500006-77.2019.8.26.0547
202,1500007-44.2022.8.26.0228
203,1500007-58.2021.8.26.0655
204,1500008-30.2020.8.26.0024
205,1500009-35.2022.8.26.0027
206,1500011-10.2020.8.26.0242
207,1500012-83.2021.8.26.0072
208,1500015-32.2019.8.26.0420
209,1500016-22.2022.8.26.0546
210,1500016-23.2020.8.26.0633
211,1500017-74.2021.8.26.0050
212,1500018-16.2021.8.26.0420
213,1500022-47.2022.8.26.0540
214,1500022-51.2019.8.26.0120
215,1500022-91.2022.8.26.0396
216,1500023-08.2022.8.26.0063
217,1500024-17.2022.8.26.0540
218,1500024-47.2022.8.26.0530
219,1500026-42.2021.8.26.0048
220,1500026-80.2022.8.26.0218
221,1500028-12.2022.8.26.0360
222,1500028-69.2022.8.26.0632
223,1500029-45.2022.8.26.0344
224,1500030-59.2022.8.26.0205
225,1500030-97.2021.8.26.0333
226,1500033-84.2021.8.26.0484
227,1500034-41.2021.8.26.0655
228,1500034-56.2022.8.26.0574
229,1500034-88.2022.8.26.0531
230,1500035-22.2022.8.26.0548
231,1500035-27.2022.8.26.0611
232,1500036-08.2019.8.26.0420
233,1500036-12.2022.8.26.0611
234,1500036-52.2022.8.26.0048
235,1500037-05.2019.8.26.0319
236,1500037-66.2022.8.26.0491
237,1500037-81.2022.8.26.0583
238,1500038-66.2022.8.26.0583
239,1500038-90.2020.8.26.0242
240,1500040-12.2020.8.26.0452
241,1500040-48.2020.8.26.0246
242,1500043-10.2019.8.26.0352
243,1500043-29.2021.8.26.0420
244,1500043-38.2022.8.26.0341
245,1500044-90.2020.8.26.0600
246,1500045-58.2022.8.26.0583
247,1500047-12.2022.8.26.0556
248,1500047-22.2022.8.26.0585
249,1500047-57.2021.8.26.0326
250,1500047-67.2021.8.26.0452
251,1500048-38.2022.8.26.0607
252,1500051-78.2021.8.26.0493
253,1500052-08.2021.8.26.0382
254,1500053-12.2022.8.26.0623
255,1500053-35.2022.8.26.0583
256,1500053-45.2020.8.26.0570
257,1500054-36.2022.8.26.0610
258,1500057-39.2020.8.26.0067
259,1500057-58.2020.8.26.0481
260,1500060-83.2021.8.26.0414
261,1500061-11.2022.8.26.0551
262,1500062-67.2019.8.26.0626
263,1500064-46.2020.8.26.0062
264,1500067-55.2020.8.26.0238
265,1500067-81.2022.8.26.0530
266,1500069-96.2022.8.26.0612
267,1500070-53.2021.8.26.0180
268,1500072-39.2019.8.26.0165
269,1500073-34.2022.8.26.0548
270,1500073-92.2022.8.26.0561
271,1500073-93.2022.8.26.0593
272,1500074-55.2022.8.26.0536
273,1500074-87.2020.8.26.0548
274,1500075-65.2022.8.26.0366
275,1500077-12.2022.8.26.0600
276,1500080-70.2019.8.26.0535
277,1500081-07.2021.8.26.0205
278,1500081-72.2022.8.26.0560
279,1500083-03.2020.8.26.0531
280,1500083-05.2022.8.26.0540
281,1500084-55.2022.8.26.0486
282,1500085-87.2022.8.26.0535
283,1500086-24.2021.8.26.0530
284,1500086-71.2022.8.26.0600
285,1500088-29.2022.8.26.0604
286,1500088-39.2022.8.26.0633
287,1500088-73.2021.8.26.0536
288,1500089-36.2022.8.26.0144
289,1500090-86.2021.8.26.0651
290,1500091-06.2022.8.26.0144
291,1500093-14.2021.8.26.0272
292,1500094-38.2022.8.26.0571
293,1500094-54.2020.8.26.0653
294,1500096-50.2020.8.26.0030
295,1500097-76.2022.8.26.0414
296,1500097-91.2022.8.26.0603
297,1500098-61.2019.8.26.0545
298,1500099-39.2020.8.26.0536
299,1500100-52.2022.8.26.0213
300,1500101-76.2021.8.26.0470
301,1500102-20.2021.8.26.0128
302,1500102-34.2021.8.26.0382
303,1500102-73.2019.8.26.0618
304,1500104-75.2022.8.26.0638
305,1500104-76.2020.8.26.0531
306,1500105-81.2021.8.26.0416
307,1500106-21.2022.8.26.0646
308,1500106-23.2022.8.26.0613
309,1500107-18.2020.8.26.0600
310,1500107-27.2020.8.26.0306
311,1500114-39.2021.8.26.0094
312,1500114-46.2022.8.26.0048
313,1500114-84.2022.8.26.0585
314,1500114-89.2021.8.26.0627
315,1500114-92.2022.8.26.0453
316,1500115-28.2021.8.26.0610
317,1500115-67.2022.8.26.0618
318,1500117-35.2021.8.26.0242
319,1500118-37.2018.8.26.0626
320,1500119-79.2022.8.26.0594
321,1500120-23.2020.8.26.0598
322,1500121-45.2021.8.26.0542
323,1500121-72.2021.8.26.0242
324,1500122-81.2022.8.26.0546
325,1500123-70.2021.8.26.0653
326,1500123-88.2022.8.26.0474
327,1500124-08.2021.8.26.0022
328,1500124-21.2022.8.26.0556
329,1500124-59.2022.8.26.0608
330,1500125-41.2021.8.26.0491
331,1500126-12.2022.8.26.0646
332,1500127-65.2021.8.26.0279
333,1500129-03.2021.8.26.0322
334,1500130-58.2022.8.26.0546
335,1500130-75.2022.8.26.0605
336,1500130-95.2020.8.26.0621
337,1500132-61.2022.8.26.0535
338,1500132-94.2022.8.26.0621
339,1500133-58.2022.8.26.0628
340,1500134-56.2021.8.26.0344
