metric,metric_label,k,representation_a,representation_a_name,representation_b,representation_b_name,n_pairs,wilcoxon_statistic,p_value_raw,mean_difference_A_minus_B,median_difference_A_minus_B,pct_A_lower,pct_B_lower,pct_tie,rank_biserial_A_minus_B,p_value_holm,significant_holm
local_R,Local R,5,legalbr,LegalBR,e5_base,E5 Base,1942,684012.5,6.483070517234491e-24,-0.12295744644714686,-0.13745149442752413,59.6292481977343,39.701338825952625,0.6694129763130793,-0.26508943128738616,1.2317833982745532e-22,True
local_R,Local R,5,legalbr,LegalBR,minilm,MiniLM,1942,773042.5,5.515418987231269e-10,-0.12963793682854075,-0.06267358579779786,54.8918640576725,44.078269824922764,1.0298661174047374,-0.1633752759059374,7.17004468340065e-09,True
local_R,Local R,5,legalbr,LegalBR,bert_large_pt,BERT Large PT,1942,897680.5,0.41789927388553905,0.023995860778551478,-0.007398696587882059,50.9783728115345,47.631307929969104,1.3903192584963955,-0.021372310677706494,0.8357985477710781,False
local_R,Local R,5,legalbr,LegalBR,qwen3,Qwen3,1942,783247.5,4.79245447787766e-09,-0.0922122879889387,-0.06023312020686955,55.35530381050463,43.7178166838311,0.9268795056642637,-0.15409185409185408,5.271699925665426e-08,True
local_R,Local R,5,legalbr,LegalBR,bge_m3,BGE-M3,1942,853135.5,0.0019487757879824998,0.004701297534009628,-0.03471727945556366,52.832131822863026,46.39546858908342,0.772399588053553,-0.08147863834955114,0.009447778521800792,True
local_R,Local R,5,legalbr,LegalBR,tfidf,TF-IDF,1942,824196.5,5.605575478289065e-05,0.09462955339996428,0.03185028452775937,45.365602471678685,53.5015447991761,1.132852729145211,0.1061551058476488,0.00039239028348023457,True
local_R,Local R,5,e5_base,E5 Base,minilm,MiniLM,1942,816550.5,1.4020987735873135e-05,-0.006680490381393886,0.05576629517731979,44.387229660144186,54.4799176107106,1.132852729145211,0.11444722800624675,0.00012618888962285821,True
local_R,Local R,5,e5_base,E5 Base,bert_large_pt,BERT Large PT,1942,673754.5,2.24110455289526e-25,0.14695330722569835,0.10038347238069878,39.08341915550979,60.09268795056643,0.8238928939237898,0.27385446254542084,4.48220910579052e-24,True
local_R,Local R,5,e5_base,E5 Base,qwen3,Qwen3,1942,800922.5,7.378565713076455e-07,0.03074515845820817,0.061536174232795046,43.97528321318229,54.84037075180227,1.184346035015448,0.13049059840194546,7.378565713076455e-06,True
local_R,Local R,5,e5_base,E5 Base,bge_m3,BGE-M3,1942,706766.5,3.294520544702877e-17,0.12765874398115648,0.06949253377245024,40.31925849639546,57.87847579814625,1.8022657054582905,0.22302528805383234,5.271232871524603e-16,True
local_R,Local R,5,e5_base,E5 Base,tfidf,TF-IDF,1942,579873.5,7.029386262078893e-45,0.21758699984711113,0.15903470708575623,36.04531410916581,62.77033985581875,1.184346035015448,0.3704691028313358,1.4761711150365674e-43,True
local_R,Local R,5,minilm,MiniLM,bert_large_pt,BERT Large PT,1942,775635.5,3.161878109297965e-09,0.15363379760709223,0.04279096907170585,44.078269824922764,54.63439752832132,1.2873326467559219,0.15618555887909233,3.794253731157558e-08,True
local_R,Local R,5,minilm,MiniLM,qwen3,Qwen3,1942,905578.5,0.5477565148293762,0.03742564883960205,0.012247879631394898,48.043254376931,50.72090628218332,1.235839340885685,0.01584723534644228,0.8357985477710781,False
local_R,Local R,5,minilm,MiniLM,bge_m3,BGE-M3,1942,850200.5,0.0018895557043601585,0.13433923436255038,0.012771033737142681,47.94026776519053,51.132852729145206,0.9268795056642637,0.08178254178254178,0.009447778521800792,True
local_R,Local R,5,minilm,MiniLM,tfidf,TF-IDF,1942,681835.5,8.817092851947867e-23,0.22426749022850503,0.10134419865405062,39.8043254376931,58.95983522142122,1.235839340885685,0.25900372815394707,1.5870767133506162e-21,True
local_R,Local R,5,bert_large_pt,BERT Large PT,qwen3,Qwen3,1942,763862.0,2.8835403088985165e-10,-0.11620814876749017,-0.05051957022759229,54.994850669412976,43.56333676622039,1.4418125643666324,-0.16638756339845742,4.036956432457923e-09,True
local_R,Local R,5,bert_large_pt,BERT Large PT,bge_m3,BGE-M3,1942,851706.5,0.0020536585699423965,-0.019294563244541853,-0.02781965131197294,53.14109165808445,45.98352214212152,0.8753861997940269,-0.08111124597105905,0.009447778521800792,True
local_R,Local R,5,bert_large_pt,BERT Large PT,tfidf,TF-IDF,1942,802771.5,3.2793090277589484e-05,0.07063369262141278,0.025067225752973474,45.365602471678685,52.42018537590113,2.214212152420185,0.11003408996424711,0.00026234472222071587,True
local_R,Local R,5,qwen3,Qwen3,bge_m3,BGE-M3,1942,836715.0,0.001467517175850446,0.09691358552294832,0.010463082114952532,46.755921730175075,51.647785787847575,1.596292481977343,0.08401371491628515,0.008805103055102676,True
local_R,Local R,5,qwen3,Qwen3,tfidf,TF-IDF,1942,675014.0,2.1188407500267103e-21,0.18684184138890297,0.09400485728133265,39.64984552008239,58.135942327497425,2.214212152420185,0.2516681910146615,3.602029275045407e-20,True
local_R,Local R,5,bge_m3,BGE-M3,tfidf,TF-IDF,1942,737001.0,1.560388910896679e-13,0.08992825586595465,0.07222563437767532,42.01853759011328,56.48815653964985,1.4933058702368691,0.19486044175555145,2.3405833663450187e-12,True
local_R,Local R,10,legalbr,LegalBR,e5_base,E5 Base,1942,643799.0,1.1990366316957343e-33,-0.1560849785323366,-0.16998539919505012,63.64572605561277,36.30278063851699,0.051493305870236865,-0.3168193956527022,2.1582659370523217e-32,True
local_R,Local R,10,legalbr,LegalBR,minilm,MiniLM,1942,788730.0,1.4676500867340376e-09,-0.11522444834540013,-0.07239921387318402,56.12770339855818,43.56333676622039,0.30895983522142123,-0.1586951791344714,1.3208850780606338e-08,True
local_R,Local R,10,legalbr,LegalBR,bert_large_pt,BERT Large PT,1942,921860.0,0.5247133194450488,0.03536683562603789,-0.0021050396075596445,50.56642636457261,49.12461380020597,0.30895983522142123,0.016691057569642072,1.0,False
local_R,Local R,10,legalbr,LegalBR,qwen3,Qwen3,1942,761295.0,1.0088522028810533e-12,-0.08678941634855047,-0.08054174863714714,57.20906282183316,42.430484037075175,0.3604531410916581,-0.18711961048113268,1.2106226434572639e-11,True
local_R,Local R,10,legalbr,LegalBR,bge_m3,BGE-M3,1942,882903.0,0.021737895564803187,0.01336752536010559,-0.041058625001222177,52.780638516992795,47.01338825952626,0.20597322348094746,-0.06018709973063898,0.10868947782401593,False
local_R,Local R,10,legalbr,LegalBR,tfidf,TF-IDF,1942,882367.5,0.03330082181130979,0.06473701719055536,0.013322485096631198,48.094747682801234,51.44181256436663,0.46343975283213185,0.05589310142086688,0.13320328724523917,False
local_R,Local R,10,e5_base,E5 Base,minilm,MiniLM,1942,757944.0,8.176140602228306e-14,0.04086053018693643,0.08120500865775855,42.48197734294541,57.46652935118435,0.051493305870236865,0.19569207162265195,1.0628982782896798e-12,True
local_R,Local R,10,e5_base,E5 Base,bert_large_pt,BERT Large PT,1942,575756.0,1.721410815617988e-49,0.1914518141583745,0.17210372470832958,34.34603501544799,65.4994850669413,0.15447991761071062,0.38776391274065175,3.4428216312359765e-48,True
local_R,Local R,10,e5_base,E5 Base,qwen3,Qwen3,1942,767475.0,1.116437034566351e-12,0.06929556218378612,0.0891190948610325,41.503604531410915,58.49639546858908,0.0,0.18641636803376138,1.2280807380229861e-11,True
local_R,Local R,10,e5_base,E5 Base,bge_m3,BGE-M3,1942,605420.5,7.179842629640467e-42,0.16945250389244218,0.134983939392466,35.68486096807415,64.1091658084449,0.20597322348094746,0.3555554845917086,1.3641700996316888e-40,True
local_R,Local R,10,e5_base,E5 Base,tfidf,TF-IDF,1942,554285.0,1.0247379782117736e-54,0.22082199572289193,0.18606220783721228,33.9340885684861,65.75695159629248,0.30895983522142123,0.4087677118488589,2.1519497542447245e-53,True
local_R,Local R,10,minilm,MiniLM,bert_large_pt,BERT Large PT,1942,743672.0,4.287293299931065e-15,0.15059128397143803,0.07517907396477358,42.224510813594236,57.4150360453141,0.3604531410916581,0.2059367458944626,6.002210619903491e-14,True
local_R,Local R,10,minilm,MiniLM,qwen3,Qwen3,1942,924374.5,0.5934235290002607,0.028435031996849672,-0.005545226467848774,50.51493305870237,49.17610710607621,0.30895983522142123,-0.014008947123651212,1.0,False
local_R,Local R,10,minilm,MiniLM,bge_m3,BGE-M3,1942,828063.0,6.162577434082655e-06,0.12859197370550574,0.03797577724152815,45.98352214212152,53.810504634397525,0.20597322348094746,0.11856196022015114,4.3138042038578584e-05,True
local_R,Local R,10,minilm,MiniLM,tfidf,TF-IDF,1942,709068.0,9.669732938123275e-20,0.1799614655359555,0.09689963183018739,40.113285272914524,59.26879505664263,0.6179196704428425,0.23895857873849893,1.4504599407184914e-18,True
local_R,Local R,10,bert_large_pt,BERT Large PT,qwen3,Qwen3,1942,713047.0,3.9672681155621736e-20,-0.12215625197458838,-0.08871879224713589,58.75386199794027,41.040164778578784,0.20597322348094746,-0.24099162750792888,6.347628984899478e-19,True
